snapshot_date,team,net_rank,prev_rank,record,conf,quad1,quad2,quad3,quad4,source_url
2026-03-12,Merrimack,230,230,18-12,MAAC,0-0,0-3,0-2,18-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Miami (FL),57,57,17-14,ACC,1-10,3-3,2-1,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Miami (OH),78,78,24-6,MAC,0-0,1-2,3-1,20-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Michigan,6,6,25-6,Big Ten,9-6,4-0,4-0,8-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Michigan St.,17,17,22-8,Big Ten,5-7,5-0,1-1,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Middle Tenn.,162,161,16-15,CUSA,0-1,0-3,0-3,16-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Milwaukee,309,309,6-24,Horizon,0-0,0-0,0-3,6-21,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Minnesota,9,9,22-8,Big Ten,5-7,2-1,6-0,9-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Mississippi St.,43,43,18-13,SEC,2-9,1-3,3-1,12-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Mississippi Val.,353,353,8-23,SWAC,0-3,0-1,0-1,8-18,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Missouri,83,84,16-16,SEC,1-9,1-5,2-2,12-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Missouri St.,120,121,20-12,CUSA,0-0,0-2,1-2,19-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Monmouth,199,199,17-10,CAA,0-1,0-0,0-0,17-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Montana,269,269,8-22,Big Sky,0-2,0-2,0-6,8-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Montana St.,69,69,23-7,Big Sky,0-1,1-2,1-3,21-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Morehead St.,194,194,17-14,OVC,0-3,0-0,2-2,15-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Morgan St.,351,350,4-25,MEAC,0-3,0-2,0-0,4-20,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Mount St. Mary's,281,281,15-15,MAAC,0-2,0-1,0-2,15-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Murray St.,91,91,27-3,MVC,0-2,1-0,2-1,24-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,N.C. A&T,261,260,8-18,CAA,0-4,0-0,0-2,8-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,N.C. Central,317,316,7-20,MEAC,0-3,0-0,0-1,7-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,NC State,25,25,20-10,ACC,3-9,5-1,4-0,8-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,NIU,313,313,7-23,MAC,0-1,0-1,0-4,7-17,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,NJIT,178,179,18-12,America East,0-1,0-0,0-2,18-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Navy,128,124,21-8,Patriot,0-1,1-1,1-0,19-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Nebraska,28,28,18-12,Big Ten,1-10,4-1,3-1,10-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Nevada,242,241,9-21,Mountain West,0-0,0-2,1-6,8-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,New Hampshire,278,276,8-20,America East,0-1,0-0,0-4,8-15,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,New Haven,350,351,5-22,NEC,0-0,0-1,0-0,5-21,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,New Mexico,113,113,22-10,Mountain West,0-0,1-3,1-3,20-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,New Mexico St.,301,300,6-21,CUSA,0-1,0-1,0-3,6-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,New Orleans,349,349,3-26,Southland,0-2,0-1,0-3,3-20,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Niagara,360,360,1-28,MAAC,0-2,0-2,0-2,1-22,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Nicholls,256,256,14-16,Southland,0-0,0-0,0-3,14-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Norfolk St.,209,215,13-13,MEAC,0-4,0-1,0-1,13-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,North Ala.,234,233,15-14,ASUN,0-1,0-0,0-3,15-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,North Carolina,19,19,26-7,ACC,4-6,9-1,3-0,10-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,North Dakota,330,330,4-24,Summit League,0-2,0-4,0-3,4-15,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,North Dakota St.,47,47,26-4,Summit League,1-1,0-2,4-1,21-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,North Florida,289,288,7-21,ASUN,0-2,0-2,0-1,7-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,North Texas,104,102,17-13,American,0-2,0-3,0-4,17-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Northeastern,308,308,7-22,CAA,0-0,0-0,0-1,7-21,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Northern Ariz.,253,253,8-22,Big Sky,0-0,0-3,1-5,7-14,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Northern Colo.,149,147,19-10,Big Sky,0-0,0-2,0-3,19-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Northern Ky.,187,188,15-17,Horizon,0-2,0-1,1-1,14-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Northwestern,131,131,8-21,Big Ten,0-12,0-4,1-3,7-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Northwestern St.,221,221,16-14,Southland,0-2,0-2,1-1,15-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Notre Dame,21,21,22-10,ACC,7-7,3-3,3-0,9-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Oakland,262,262,9-21,Horizon,0-2,0-1,1-2,8-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Ohio,158,158,17-12,MAC,0-0,0-3,2-1,15-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Ohio St.,15,15,26-7,Big Ten,9-7,4-0,2-0,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Oklahoma,13,13,24-7,SEC,6-7,4-0,3-0,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Oklahoma St.,29,29,22-9,Big 12,1-3,6-5,5-1,10-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Old Dominion,151,148,17-14,Sun Belt,0-4,0-2,2-3,15-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Ole Miss,20,20,23-11,SEC,5-8,3-2,4-1,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Omaha,355,355,4-27,Summit League,0-2,0-6,0-3,4-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Oral Roberts,192,191,12-15,Summit League,0-3,0-4,3-1,9-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Oregon,24,24,22-12,Big Ten,3-8,3-3,4-1,12-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Oregon St.,81,82,21-11,WCC,0-2,1-4,3-4,17-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Pacific,206,206,10-19,WCC,0-0,0-5,1-7,9-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Penn,121,123,15-10,Ivy League,0-2,0-3,1-2,14-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Penn St.,93,93,11-18,Big Ten,1-10,1-6,2-1,7-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Pepperdine,125,126,17-12,WCC,0-1,1-2,2-2,14-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Pittsburgh,264,264,8-22,ACC,0-9,0-4,0-2,8-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Portland,130,129,16-14,WCC,0-2,1-1,2-8,13-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Portland St.,314,314,5-25,Big Sky,0-0,0-2,0-3,5-20,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Prairie View,358,358,0-28,SWAC,0-2,0-1,0-1,0-24,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Presbyterian,363,363,1-27,Big South,0-1,0-0,0-1,1-25,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Princeton,38,38,24-3,Ivy League,1-1,4-1,6-1,13-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Providence,147,146,15-18,Big East,0-5,0-4,2-4,13-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Purdue,72,71,13-17,Big Ten,0-12,2-2,2-1,9-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Purdue Fort Wayne,139,138,19-13,Horizon,0-2,0-0,1-2,18-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Queens (NC),324,324,8-20,ASUN,0-2,0-0,0-2,8-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Quinnipiac,84,85,26-6,MAAC,0-0,1-2,0-0,25-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Radford,207,207,20-12,Big South,0-2,0-1,0-1,20-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Rhode Island,49,49,27-4,Atlantic 10,1-1,3-1,4-0,19-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Rice,63,62,27-4,American,0-2,1-0,4-0,22-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Richmond,37,37,26-7,Atlantic 10,0-2,3-4,5-0,18-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Rider,334,334,7-22,MAAC,0-0,0-2,0-2,7-18,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Robert Morris,217,216,16-12,Horizon,0-0,0-0,0-1,16-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Rutgers,171,170,9-20,Big Ten,0-12,1-3,2-2,6-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,SFA,161,172,23-9,Southland,0-0,0-1,1-3,22-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,SIUE,248,248,13-16,OVC,0-0,0-0,1-5,12-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,SMU,223,220,9-21,ACC,0-9,0-4,0-2,9-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Sacramento St.,204,204,13-18,Big Sky,0-0,0-2,1-4,12-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Sacred Heart,300,298,12-18,MAAC,0-1,0-3,0-4,12-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Saint Francis,356,356,3-26,NEC,0-0,0-0,0-0,3-26,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Saint Joseph's,86,87,18-11,Atlantic 10,0-1,1-5,2-2,15-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Saint Louis,224,223,11-21,Atlantic 10,0-0,0-4,0-5,11-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Saint Mary's (CA),182,184,13-17,WCC,0-2,0-3,0-5,13-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Saint Peter's,347,347,6-23,MAAC,0-0,0-3,0-1,6-19,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Sam Houston,180,168,15-12,CUSA,0-2,1-1,0-2,14-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Samford,280,280,13-18,SoCon,0-4,0-1,0-0,13-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,San Diego,267,267,10-22,WCC,0-0,0-5,0-7,10-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,San Diego St.,73,73,24-5,Mountain West,0-1,2-0,3-2,19-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,San Francisco,169,167,17-14,WCC,0-0,0-3,1-8,16-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,San Jose St.,320,320,3-28,Mountain West,0-1,0-4,0-6,3-17,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Santa Clara,80,80,22-9,WCC,0-1,1-2,6-3,15-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Seattle U,342,342,3-25,WCC,0-1,0-1,0-7,3-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Seton Hall,64,64,19-12,Big East,0-6,1-1,5-3,13-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Siena,283,284,13-17,MAAC,0-0,0-2,0-3,13-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,South Alabama,181,182,16-18,Sun Belt,0-1,0-4,2-2,14-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,South Carolina,3,3,31-3,SEC,12-3,7-0,3-0,9-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,South Carolina St.,359,359,3-25,MEAC,0-1,0-1,0-1,3-22,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,South Dakota,114,114,20-9,Summit League,0-1,2-3,0-1,18-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,South Dakota St.,39,39,27-6,Summit League,0-3,4-2,4-1,19-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,South Fla.,68,66,20-12,American,1-5,1-2,2-2,16-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Southeast Mo. St.,231,231,12-18,OVC,0-1,0-1,0-5,12-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Southeastern La.,336,336,4-24,Southland,0-3,0-0,0-3,4-18,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Southern California,23,23,17-13,Big Ten,4-12,3-0,2-1,8-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Southern Ill.,284,278,8-20,MVC,0-0,0-0,0-5,8-15,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Southern Ind.,123,125,18-10,OVC,0-1,0-0,0-4,18-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Southern Miss.,190,190,13-16,Sun Belt,0-2,0-3,1-1,12-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Southern U.,226,229,15-13,SWAC,0-6,0-0,1-0,14-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Southern Utah,183,181,16-12,WAC,0-0,0-1,1-5,15-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,St. Bonaventure,212,211,15-15,Atlantic 10,0-1,0-2,2-1,13-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,St. John's (NY),100,100,22-11,Big East,0-3,4-2,3-4,15-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,St. Thomas (MN),228,228,13-16,Summit League,0-2,0-4,0-2,13-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Stanford,44,44,19-13,ACC,2-6,4-6,3-0,10-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Stetson,175,176,18-11,ASUN,0-1,0-1,1-0,17-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Stonehill,337,337,11-18,NEC,0-1,0-0,0-1,11-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Stony Brook,244,244,14-14,CAA,0-1,0-1,0-1,14-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Syracuse,40,40,23-8,ACC,1-7,6-1,3-0,13-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,TCU,12,12,29-5,Big 12,4-3,10-2,1-0,14-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Tarleton St.,216,218,12-16,WAC,0-1,0-1,0-4,12-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Temple,140,140,15-17,American,0-5,0-2,2-3,13-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Tennessee,22,22,16-13,SEC,5-11,1-1,2-1,8-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Tennessee St.,325,325,5-24,OVC,0-2,0-0,1-3,4-19,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Tennessee Tech,222,222,13-14,OVC,0-1,0-0,0-4,13-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Texas,4,4,31-3,SEC,14-3,5-0,4-0,8-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Texas A&M,61,61,14-12,SEC,2-9,5-0,2-2,5-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Texas Southern,335,335,6-21,SWAC,0-3,0-0,0-3,6-15,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Texas St.,251,251,9-19,Sun Belt,0-2,0-1,0-4,9-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Texas Tech,31,31,25-7,Big 12,3-1,5-6,3-0,14-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Toledo,157,156,15-14,MAC,0-1,0-3,2-2,13-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Towson,229,226,16-14,CAA,0-2,0-0,0-1,16-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Troy,76,77,24-7,Sun Belt,0-1,0-3,5-1,19-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Tulane,185,185,11-20,American,0-2,0-3,0-4,11-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Tulsa,150,152,19-12,American,0-1,1-2,2-4,16-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UAB,197,197,11-18,American,0-1,0-1,0-4,11-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UAlbany,189,189,13-16,America East,0-2,0-1,0-3,13-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UC Davis,167,171,21-9,Big West,0-1,0-2,1-3,20-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UC Irvine,79,79,26-5,Big West,0-0,0-0,1-2,25-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UC Riverside,243,243,9-21,Big West,0-0,0-2,1-7,8-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UC San Diego,118,119,21-8,Big West,0-1,1-0,2-1,18-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UC Santa Barbara,143,141,19-10,Big West,0-1,0-1,2-2,17-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UCF,145,144,11-19,Big 12,0-7,2-5,1-3,8-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UCLA,2,2,31-1,Big Ten,18-1,2-0,5-0,6-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UConn,1,1,34-0,Big East,9-0,5-0,8-0,12-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UIC,203,200,14-18,MVC,0-0,1-1,0-4,13-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UIW,274,273,11-17,Southland,0-2,0-1,0-3,11-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,ULM,154,150,16-16,Sun Belt,0-2,0-4,1-3,15-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UMBC,186,186,14-14,America East,1-1,0-0,1-2,12-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UMES,252,252,17-13,MEAC,0-2,0-1,0-1,17-9,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UMass Lowell,348,348,5-21,America East,0-0,0-0,0-3,5-18,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UNC Asheville,333,332,9-18,Big South,0-0,0-0,0-1,9-17,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UNC Greensboro,279,279,10-16,SoCon,0-2,0-0,0-1,10-13,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UNCW,326,326,6-24,CAA,0-1,0-0,0-2,6-21,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UNI,117,118,17-13,MVC,0-2,0-2,1-3,16-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UNLV,96,96,21-11,Mountain West,0-0,0-6,3-4,18-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,USC Upstate,343,343,9-20,Big South,0-3,0-0,0-1,9-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UT Arlington,232,235,12-20,WAC,0-1,1-2,0-3,11-14,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UT Martin,257,257,10-17,OVC,0-1,0-0,1-5,9-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UTEP,268,268,11-17,CUSA,0-1,0-2,0-2,11-12,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UTRGV,201,202,18-13,Southland,0-2,0-1,0-4,18-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,UTSA,129,139,15-15,American,0-2,1-2,1-4,13-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
